,C0001,C0003,C0004,C0005,C0006,C0008,C0009,C0010,C0012,C0013,C0014,C0015,C0016,C0017,C0018,C0019,C0020,C0021,C0022,C0023,C0024,C0025,C0026,C0027,C0028,C0029,C0030,C0031,C0032,C0033,C0035,C0036,C0038,C0039,C0040,C0041,C0042,C0044,C0045,C0046,C0047,C0048,C0049,C0052,C0053,C0054,C0057,C0061,C0062,C0065,C0068,C0069,C0070,C0071,C0073,C0076,C0078,C0079,C0080,C0081,C0082,C0083,C0084,C0085,C0086,C0087,C0089,C0090,C0093,C0094,C0096,C0098,C0099,C0100,C0101,C0102,C0103,C0105,C0106,C0110,C0111,C0113,C0114,C0115,C0117,C0119,C0120,C0121,C0124,C0126,C0127,C0129,C0131,C0134,C0136,C0138,C0139
C0001,0.0,3.80194963090919,0.22311110581439558,5.372845021311629,6.091365249247406,0.7136832501264055,4.607741091160126,9.514253078397147,5.4200690925778465,1.606251051369683,4.066829931848832,1.1317163891163076,0.9322200773148089,1.6329005196916337,0.9080996943415935,5.242882275578214,5.363817054016923,12.286077615507402,5.372845021311629,2.190438468187468,1.1120144031551777,4.204259523209461,1.0309056206990215,5.428142913750316,1.029759251762846,3.2807150207978473,0.13391434476580477,12.25769473364072,12.785017151986105,2.6453720805873333,5.899406270318243,6.591297733318419,1.3653307534245485,2.262359185907897,3.0508243130302075,5.164598968949862,5.135320097663758,5.562033583786757,15.639118579883228,2.3252625581625708,1.0078495539938122,0.4149203401052423,4.253967573821155,2.8444752210832727,0.9102263993041747,2.333933878490959,0.9072698774058843,8.732373367783287,2.7741134159246026,3.7642450257475923,4.155450357569099,14.185597779157774,0.8482835612449998,3.8088840793223553,0.4442665993522546,3.4119443336559034,12.179562831950138,2.8961409945214442,1.6028566625312177,4.819830318180456,12.39208157641405,0.9018377731171634,5.702987791053322,5.488286503944768,5.37117789573132,9.727741431851118,10.169867260385187,12.785017151986105,2.030065868731575,0.8789293929060831,5.68185233520463,2.0676348154883715,1.0655165244937235,6.280040355628747,6.807194459449463,3.3492991480398295,4.284170009669831,0.5127609706856278,4.620129942454355,1.4808202335954754,5.334602119371802,0.953279452229936,16.167171516349132,0.4594304094699508,2.120220421106705,1.1255160859964712,4.108952548693256,8.255336043108773,5.318578554014884,0.7304997579718566,1.5403094754595383,16.284531779593244,2.080116658199108,2.8347634074369523,2.2218588239092227,3.2660033917641194,5.22715184159511
C0003,3.80194963090919,0.0,3.964215090059894,9.12713330618849,9.735330539158634,4.306354158753805,6.103288235367525,12.676704507208013,8.982682427578508,4.849906847321726,7.245349367549167,4.260680795144923,4.405729582625275,2.659810463732851,4.395912860997447,6.763729099681933,9.148519321248926,15.383331945495764,9.12713330618849,4.009897070337522,2.9334129320169797,7.3975616568229725,4.51329971685149,8.989147737560911,4.446332552654635,4.844075790557284,3.84919723539693,15.089755526641776,15.728332936965831,4.147733407889962,7.0453305308543985,10.120855844147993,2.793218387818826,4.168577393014575,6.425069338082274,8.804575749570834,8.93597335400199,9.1430785523028,18.553985281468044,4.335863840772702,4.418896750043547,4.104847079538102,7.349651717068279,6.5367508306711555,3.073083459499386,4.044256520200833,4.431216395280427,8.562011680763863,4.484666307053361,6.985479281149889,7.899389289438814,17.18807586466909,4.380894363881577,6.91954591164916,4.1765963325196385,7.21385553875497,15.270045175630699,4.284855106413578,5.233065180651641,8.54728449768739,14.844227965616403,4.397880685369543,9.502354301715034,9.136903262675528,9.156697141659341,10.111944832289538,10.941200145318087,15.728332936965831,5.825425489542136,4.370580933879649,9.480016914232708,1.8451926159548884,4.406483109066694,7.463949443025962,10.593096877096015,6.604766993505483,4.189685099219703,4.1516930461670105,8.3656463227004,4.107252396488767,8.96082545737621,3.0421726706579912,18.99246564437199,3.713463364403933,4.034229389494507,2.9216138098061446,5.587976828464776,8.730151608542634,9.111719115638614,4.299193249806856,4.593172782155252,17.52447222340419,5.834490710011383,6.505143213738813,4.1724479500421525,6.757907448075091,8.90200835930197
C0004,0.22311110581439558,3.964215090059894,0.0,5.186324423032301,6.002519026419388,0.7595346741755014,4.75970725760771,9.291962538555909,5.208207841626422,1.6684618705830832,4.074623811995175,1.2525674464080654,0.9929109387274134,1.6842712114852207,0.9670619126549013,5.38609730565115,5.188215133427321,12.063570129201697,5.186324423032301,2.377603130022009,1.180412420982341,4.208281387611169,1.078211530623318,5.216179747896368,1.0965122287319642,3.4510122591544627,0.11794937257136238,12.03489425262694,12.561906336769006,2.8344532404744407,6.056515362235122,6.525040741628746,1.423510159984229,2.4416315494629934,3.0412295134094367,5.079959030768692,4.973133664185371,5.351679700114043,15.416009711217978,2.495355873008176,1.078463061105542,0.47004230407723324,4.271091694696402,2.759617093675505,0.9848893595257767,2.522006351461805,0.9541382966777672,8.925668564689472,2.94858126561489,3.769574750977636,4.042812389964609,13.962646744876377,0.8992401513095791,3.8297616475701943,0.4565931039070655,3.2554498261198432,11.95698875043573,3.084096083940055,1.5649432969573065,4.626552769178228,12.173755032143927,0.9588489043645153,5.5385425774202695,5.284072740583973,5.195996985015936,9.899156851185307,10.323675359415502,12.561906336769006,1.895022381338984,0.9402041216004575,5.5158837798113565,2.195949491783861,1.1482676094598476,6.432320039931566,6.632580642543753,3.3554282535770152,4.497350665622629,0.5741264612611114,4.505260732936828,1.6420193183349605,5.252614568378063,1.026565087400207,15.944178379615304,0.6607514119309323,2.3045270463597842,1.1942687901281028,4.268806387623433,8.428263520771822,5.148056312991815,0.7839835688897785,1.6407362300406794,16.097236553815392,1.9770960583267403,2.7574241702343376,2.399859002336311,3.2295152186704836,5.02580583635762
C0005,5.372845021311629,9.12713330618849,5.186324423032301,0.0,3.3230310643160506,5.06057506823692,7.622498341393749,5.377855365677065,1.3836445173250913,5.047996915987254,4.703833178921251,5.4040084771023755,5.07612601310684,6.580963994660977,5.071885745226559,7.913233792696103,0.4427383416973805,7.983135269378234,0.0,6.542466370205939,6.210056183341449,4.676118065840912,5.000775060080127,1.3925798958224513,5.094408588386947,7.020173563696389,5.30394331998413,8.487788232159856,8.746094619558848,6.888608071752838,8.72787580999547,4.17193047853579,6.386398341488371,6.479105021951196,4.285177922710718,3.0815306778048006,0.9359510492152417,1.3025758878003053,11.467573783508271,6.392921889610994,5.114911137984529,5.1590550119586025,4.929914732647348,3.3620427949776426,6.057461779433131,6.6535601844904395,5.021684236870793,12.157322799893175,6.74392763563358,4.586546550313359,2.430238820260248,9.935489885010442,5.049362882844507,4.856100773193256,5.075066486689205,2.1399643742544194,7.898757587002131,7.05103420571461,4.3556383166860435,0.6267125607408408,9.343123771073016,5.064571103262535,0.9413457480391781,0.8920545047282734,0.4591668712105314,12.423326664832787,12.33774173222373,8.746094619558848,3.4918412266672774,5.085572604365901,0.8804982772141505,7.30190618302262,5.175363324636394,8.924917372305696,1.5390529710421004,4.528514786986433,8.756747326349124,5.148915195186389,2.30013758459182,5.832961554860715,3.193246083866592,6.090258381152344,12.125314030505614,5.592180018651762,6.456042844132684,6.222700127664206,7.415000316814927,11.135249644424883,0.6320266509465798,5.081548069551508,5.338788289975069,14.865936934341864,3.6468013479709476,3.455510719988175,6.435752262973949,3.8945962461418664,0.720554605381975
C0006,6.091365249247406,9.735330539158634,6.002519026419388,3.3230310643160506,0.0,5.469104220960196,5.985287322509916,8.421322283881329,4.692025908110525,4.901316694930979,2.948107968585943,5.478224704183737,5.341006801998004,7.680825798224131,5.353258416459089,6.002559639155623,2.880366765934205,10.787959580550748,3.3230310643160506,6.101044175458113,7.182877842782253,2.8230513508679693,5.231183300258055,4.701701570956537,5.293022340565852,6.012092735883502,6.096028137364594,11.52297942012962,11.658038134173093,6.254795849444084,6.7443956570378685,0.8508674903343862,7.4244587081523665,5.972582403555316,3.3849980565515922,0.9318061147719929,2.431552389354929,4.62433908000376,14.216521326144823,5.82464885184802,5.320651837492145,5.715199282388601,3.0272347357673253,3.2468902466460703,6.985999918498068,6.150634495706844,5.322678487838053,10.121172798466366,5.978816160398306,3.068264557154628,2.037108633854615,12.688258772947021,5.376765439763639,3.269873091720246,5.65971358779837,3.1718758723612783,10.720831795926529,6.306028109487252,4.52612024466882,3.604428571150174,12.553919561075729,5.352501697032689,2.462693941957691,4.214751195653017,2.8641414715591726,9.97475425999637,9.655973820345928,11.658038134173093,4.168723517856907,5.380183427790254,2.518765519354672,8.143266666826166,5.3294522926562236,6.80617290457461,3.1604289352477934,3.327994532014642,7.853287409139869,5.646846477336271,1.6365932399308316,5.698871270515444,0.7766240760891524,7.0281226927526115,14.928067280470076,6.056093286187933,6.036195537858097,7.196727835439495,6.012374540054849,8.877762334334522,2.6927086496048616,5.470437188083503,5.177654914480475,18.188555708152812,4.027544557117754,3.2598975240606327,5.944241152214456,3.002593765918874,4.00784887497512
C0008,0.7136832501264055,4.306354158753805,0.7595346741755014,5.06057506823692,5.469104220960196,0.0,4.075486475438285,9.520359876228179,5.284251445254694,0.9089527237795326,3.354155766470119,0.57069821825653,0.23502929877831327,2.334348060478045,0.20883283248020165,4.682737319879722,4.998220586335942,12.294617729417562,5.06057506823692,1.842281669868617,1.8095024337810506,3.492353847140039,0.32047066948780145,5.293262829191418,0.3399447781578177,2.8247725189824244,0.787362059264728,12.355099103310092,12.84348742282176,2.2935147858041,5.379400862590113,5.932550955642165,2.0653668867393873,1.8689173966880188,2.3456544071117884,4.537994735095965,4.715634990364149,5.410431700582134,15.691969459968922,1.8863052139112872,0.3248941530183106,0.3006139137078404,3.5402955923300974,2.236934668966196,1.6078500297971983,1.985671001695735,0.1958427585198118,8.35941892892755,2.3443365574623116,3.0522295093662652,3.5930455102559438,14.216538695578446,0.1397055932036361,3.0952345067140326,0.3043709159342283,2.993571574079935,12.19124055856833,2.5319514587024248,0.9433382075479531,4.551178923937902,12.595429644327522,0.19999763532202752,5.28768884669213,5.285938710579803,5.003616948082899,9.251764944963659,9.633478976725481,12.84348742282176,1.5846848999999166,0.18396043685625801,5.272750296493414,2.679118685770127,0.40416587764457984,5.743880013100385,6.427629661540111,2.6373378119451463,4.085670896057744,0.20122307894420027,4.059328911680316,1.042438379212481,4.7028070919818905,1.650783344317851,16.24554641948248,0.5932021977096698,1.7588021573147135,1.8225880280977838,3.605493936393991,7.787339553764235,4.931085086155285,0.03348103179309996,0.9025708128389871,16.713024174004374,1.5359694508628206,2.212808613403491,1.8234017425322326,2.5814345391890168,5.006312555511771
C0009,4.607741091160126,6.103288235367525,4.75970725760771,7.622498341393749,5.985287322509916,4.075486475438285,0.0,12.829639482564932,8.422849255342856,3.306160254409964,3.1141326003536007,3.5188097555291153,3.8557385073868664,5.768432595458429,3.8808683432438333,0.682707673226168,7.344807085437462,15.539968908079022,7.622498341393749,2.5307321861341223,5.332573235334287,3.2095438257778612,3.8180534770268513,8.433694323674782,3.7553760980785666,1.4002203469366226,4.731932562585393,15.850745573196408,16.225549569328326,2.1574619571691303,1.305386279155886,5.867118615260544,5.544729746020568,2.410562924871078,3.3436737878185707,5.2978951658160165,6.864394927899673,8.489088500123206,19.01657011633738,2.308065847516013,3.762332473442684,4.30955903139632,2.978205360221623,4.337814716417606,5.184022533968017,2.4118004183953783,3.9170625514258792,4.565514593100825,1.9019618476924465,3.1183502884102134,5.2607705375988365,17.495448325967775,3.9527251314564738,2.857205249712029,4.355992319210516,5.628003764846345,15.448339619883779,1.938260874682679,3.9330522973934623,7.359936306076146,16.335128520311873,3.8916546216559156,7.342318309748043,8.217246356016423,7.340405556882713,5.201563057454335,5.563983918031844,16.225549569328326,4.760170160445341,3.8988610145167537,7.361741390510958,5.530420179019999,3.6760509138306077,1.6726759782646659,8.482978878329936,3.099108928238916,2.3582879700503665,4.213617065588968,5.560239823253508,3.127599858140676,5.3483146427553105,5.214868095883064,19.638785683584178,4.170762540412847,2.573432979960793,5.339944322147355,0.5411904659187282,3.7578267192250596,7.190185489759146,4.043311447735109,3.188760425121385,20.763353418181335,4.437731498971079,4.237119962023522,2.4415873642306556,3.7282065039113066,7.91125723341772
C0010,9.514253078397147,12.676704507208013,9.291962538555909,5.377855365677065,8.421322283881329,9.520359876228179,12.829639482564932,0.0,4.40708944685322,9.854664398927177,10.054271391664008,10.01610538062668,9.631041585346983,10.045281411538202,9.616743528362091,13.19124767123435,5.761981024787862,2.774796732809323,5.377855365677065,11.292978739939123,9.902247503037444,10.037187819647023,9.59462398982626,4.396284966741744,9.688736565859465,12.01572981259845,9.399302615061146,3.1167719441123576,3.3969175307063524,11.708454848094929,14.00657270322681,9.2106293389393,9.966263032761095,11.273980333895144,9.504181852281267,8.402424620005839,6.2869029803694,4.343399356924446,6.2027196868000605,11.231308801534414,9.70031513301642,9.485895727910734,10.288797313044967,8.492239781758398,9.832363622596608,11.426101420793046,9.56453465692456,17.39496421416967,11.647039562727304,9.910410936898689,7.793402731022622,4.703408851381177,9.568159763032357,10.176696911764468,9.40069165096787,7.203181937171142,2.670884357376613,11.914664268785225,9.130337317306262,5.500725523673458,4.260784056662443,9.606650189493028,6.0217785532668,4.643192406216357,5.773000727912544,17.772636436603975,17.714545654565203,3.3969175307063524,8.215323498228983,9.61852799287152,5.974454043807712,10.896463181230374,9.781475259911522,14.234288320140555,5.318767935183063,9.796585568860467,13.572678692729848,9.522544899509624,7.675358249438469,10.500159708402,8.488238553415217,9.847676498918002,6.809352635063791,9.890300192266515,11.204737605056197,9.910565585820653,12.549354456507098,16.451476256061582,5.9514616546809815,9.550372160022587,10.10295116615502,10.49123593597513,8.489862874673452,8.593146810929646,11.227450727532641,9.156547224957741,4.94514148249152
C0012,5.4200690925778465,8.982682427578508,5.208207841626422,1.3836445173250913,4.692025908110525,5.284251445254694,8.422849255342856,4.40708944685322,0.0,5.503590355037878,5.7169743089840335,5.730997771136125,5.360156154077532,6.3401229110043,5.349374895327946,8.79378501729681,1.822292823317332,7.137449615760119,1.3836445173250913,6.975119970139338,6.058489415985209,5.716469901306086,5.308622305764564,0.011164418316024086,5.404345097622376,7.632193374621411,5.324053593547121,7.449264206472935,7.8027058274813275,7.371259043916984,9.608027816500515,5.542661522042935,6.189661791219824,6.94118769477602,5.103996191690138,4.366756516478263,2.266639833205751,0.1817078631125344,10.60207833240115,6.88457565272271,5.419414465678518,5.30508470070062,5.961810564753778,4.086207161216129,5.939702686404462,7.102032038806858,5.2968531363521345,12.988316103433444,7.2846236874103845,5.548287627445517,3.5160607882651522,9.088707048663549,5.309770347352101,5.810122548631694,5.218122929633646,2.7991367056883454,7.042008082182389,7.565351468543051,4.778271523431008,1.1796099290612854,8.138295035643546,5.340131414194722,2.3156366780183104,0.5163882194910555,1.8393867762839604,13.405380759501748,13.40865811378876,7.8027058274813275,3.859765811841125,5.3557411049433075,2.254618463654895,7.137979593780915,5.494490919788448,9.84592862675799,2.5256616217530614,5.407024774527682,9.248955107069339,5.322364476432527,3.5088708669377953,6.202354254677034,4.49661354801948,5.96527496715518,11.216442032507253,5.732593097348512,6.88662757341512,6.0695462137917175,8.144748744633587,12.06286792713504,2.003262536779232,5.311310107286627,5.767489079527112,13.509918365118802,4.111568924316973,4.187271622029789,6.895263972393395,4.7692710927341615,0.6857069654325416
C0013,1.606251051369683,4.849906847321726,1.6684618705830832,5.047996915987254,4.901316694930979,0.9089527237795326,3.306160254409964,9.854664398927177,5.503590355037878,0.0,2.5176515779735062,0.6015756373061187,0.6773277833502046,3.180009375389055,0.7026708107979205,3.8740331445790837,4.907492906690483,12.616442391077994,5.047996915987254,1.4956743349509698,2.6566899559352932,2.662702932721202,0.5917476879442953,5.513554795704385,0.576795085076129,2.19737520055568,1.692342863760386,12.778395829688504,13.22096918040514,1.8690327818327823,4.608743605686528,5.272634928088741,2.912109798087727,1.4433786150786827,1.5853003469427915,3.975483491736096,4.5471470605506425,5.606949011680025,16.054114855687033,1.3810397939893466,0.5984078336659584,1.2049640973532298,2.682858324023119,1.8327716946972148,2.4594373149075004,1.6118735415325405,0.7147597235256152,7.733059191395472,1.7936962214437941,2.2258108299643267,3.202338716393946,14.557467076645649,0.7692549052261913,2.2343792362305703,1.2124765944240885,2.9087666256260025,12.517197488259947,2.0628223735769997,0.7257979454843331,4.616284112342268,13.13209522282361,0.7103403203579597,5.1111062693864975,5.419856083212639,4.909715159424012,8.507437167458281,8.827311401476214,13.22096918040514,1.6444527400861884,0.7306372926983151,5.106523786372829,3.3985895719145334,0.5479906701827464,4.952727399572434,6.284992130855371,1.8173968693682632,3.748795917480027,1.1010935130162665,3.6544069771417527,0.832528089635822,4.12478411158453,2.5012570301130572,16.635645744823517,1.3330775456188861,1.4086972452754936,2.6689381007025967,2.8817399088338966,7.0576346746378755,4.808113450305431,0.8854198670300026,0.30062067296721096,17.459241747597712,1.4117680632119838,1.7718122342374507,1.3983423325405089,1.9087865936001982,5.122959945503787
